top - 10:20:25 up 23:51,  4 users,  load average: 2.92, 2.78, 2.77
Tasks: 382 total,   5 running, 377 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.5 us, 58.1 sy,  0.0 ni, 28.6 id,  3.8 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   9866.5 total,    109.8 free,   9441.3 used,    596.3 buff/cache     
MiB Swap:  10240.0 total,   4641.1 free,   5598.9 used.    425.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     84 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     87 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:03.73 kworker+
     91 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     96 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     97 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     98 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    100 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
